Category,Transcript,Call_ID,Customer_Satisfaction_Rating
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",415562,5
Long Wait Times,Why do my test results always take so long?,869738,5
Long Wait Times,How much longer will I have to wait for my results?,966210,4
Long Wait Times,Why is there such a long delay for lab tests?,336627,3
Long Wait Times,"Every time I come here, the appointments never start on time.",274433,4
Long Wait Times,"Every time I come here, the appointments never start on time.",317715,1
Long Wait Times,Can you explain why there's always a delay in this office?,296868,3
Long Wait Times,Why is there such a long delay for lab tests?,748595,5
Long Wait Times,Can you explain why there's always a delay in this office?,872160,4
Long Wait Times,I've spent my whole afternoon waiting for this.,879109,1
Long Wait Times,How much longer will I have to wait for my results?,958208,2
Long Wait Times,How much longer will I have to wait for my results?,564391,5
Long Wait Times,"Every time I come here, the appointments never start on time.",374261,1
Long Wait Times,"Every time I come here, the appointments never start on time.",675692,2
Long Wait Times,This wait time is unacceptable.,237536,1
Long Wait Times,I've been waiting for over an hour to see the doctor.,608276,4
Long Wait Times,Why is there such a long delay for lab tests?,411996,5
Long Wait Times,How much longer will I have to wait for my results?,780165,1
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",692590,1
Long Wait Times,Why do my test results always take so long?,347838,3
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",863956,4
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,494541,1
Long Wait Times,I've spent my whole afternoon waiting for this.,884354,5
Long Wait Times,"Every time I come here, the appointments never start on time.",791015,3
Long Wait Times,I've spent my whole afternoon waiting for this.,345945,2
Long Wait Times,This wait time is unacceptable.,681587,1
Long Wait Times,Why is there such a long delay for lab tests?,831756,3
Long Wait Times,I've spent my whole afternoon waiting for this.,125710,5
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,677266,1
Long Wait Times,I've spent my whole afternoon waiting for this.,305298,5
Long Wait Times,Can you explain why there's always a delay in this office?,449097,2
Long Wait Times,"Every time I come here, the appointments never start on time.",230547,2
Long Wait Times,How much longer will I have to wait for my results?,308657,5
Long Wait Times,How much longer will I have to wait for my results?,911328,2
Long Wait Times,I've spent my whole afternoon waiting for this.,838953,1
Long Wait Times,This wait time is unacceptable.,644880,1
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",985259,1
Long Wait Times,Can you explain why there's always a delay in this office?,254311,3
Long Wait Times,Can you explain why there's always a delay in this office?,276021,1
Long Wait Times,Why do my test results always take so long?,466178,2
Long Wait Times,I've spent my whole afternoon waiting for this.,207111,4
Long Wait Times,Why do my test results always take so long?,442851,5
Long Wait Times,I've spent my whole afternoon waiting for this.,166041,5
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,564961,1
Long Wait Times,"Every time I come here, the appointments never start on time.",829907,2
Long Wait Times,Why is there such a long delay for lab tests?,957586,2
Long Wait Times,This wait time is unacceptable.,994860,4
Long Wait Times,I've been waiting for over an hour to see the doctor.,633500,2
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",359814,3
Long Wait Times,Why do my test results always take so long?,677310,3
Long Wait Times,Why is there such a long delay for lab tests?,536891,4
Long Wait Times,I've spent my whole afternoon waiting for this.,331014,2
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,340634,3
Long Wait Times,How much longer will I have to wait for my results?,969862,2
Long Wait Times,Why do my test results always take so long?,764700,2
Long Wait Times,I've spent my whole afternoon waiting for this.,768543,4
Long Wait Times,I've spent my whole afternoon waiting for this.,848114,1
Long Wait Times,How much longer will I have to wait for my results?,513717,5
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,993810,1
Long Wait Times,I've spent my whole afternoon waiting for this.,856171,5
Long Wait Times,Can you explain why there's always a delay in this office?,260334,2
Long Wait Times,Why do my test results always take so long?,474911,1
Long Wait Times,Why do my test results always take so long?,243350,2
Long Wait Times,"Every time I come here, the appointments never start on time.",893333,2
Long Wait Times,How much longer will I have to wait for my results?,562308,3
Long Wait Times,Why is there such a long delay for lab tests?,560043,4
Long Wait Times,I've spent my whole afternoon waiting for this.,439973,3
Long Wait Times,Can you explain why there's always a delay in this office?,521654,5
Long Wait Times,I've spent my whole afternoon waiting for this.,340748,1
Long Wait Times,Why do my test results always take so long?,292132,4
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",519447,3
Long Wait Times,How much longer will I have to wait for my results?,973937,4
Long Wait Times,Why is there such a long delay for lab tests?,961328,2
Long Wait Times,Why do my test results always take so long?,896484,1
Long Wait Times,How much longer will I have to wait for my results?,181360,1
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,582151,5
Long Wait Times,Can you explain why there's always a delay in this office?,328342,1
Long Wait Times,Why do my test results always take so long?,438654,5
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",116397,4
Long Wait Times,Can you explain why there's always a delay in this office?,169061,2
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,256973,4
Long Wait Times,Can you explain why there's always a delay in this office?,484735,5
Long Wait Times,Why is there such a long delay for lab tests?,107933,4
Long Wait Times,Can you explain why there's always a delay in this office?,468967,3
Long Wait Times,This wait time is unacceptable.,651432,2
Long Wait Times,I've been waiting for over an hour to see the doctor.,850079,5
Scheduling Difficulties,It's impossible to find an available appointment slot.,123132,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,227483,4
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,233416,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,838140,2
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,666893,3
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,850268,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,649235,5
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,863456,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,544515,1
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,638932,3
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,579766,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,888997,4
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,215370,2
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,441236,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,731916,3
Scheduling Difficulties,I requested an appointment online and never got confirmation.,850185,5
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,738083,1
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,939081,3
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,544325,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,719223,1
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,688834,5
Scheduling Difficulties,Your online booking isn't user-friendly at all.,896589,5
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,113629,5
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,653924,4
Scheduling Difficulties,Why do I have to wait so long for a specialist?,142723,5
Scheduling Difficulties,It's impossible to find an available appointment slot.,979261,3
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,496375,3
Scheduling Difficulties,Why do I have to wait so long for a specialist?,182770,2
Scheduling Difficulties,I requested an appointment online and never got confirmation.,274277,5
Scheduling Difficulties,It's impossible to find an available appointment slot.,588121,1
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,286009,4
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,725549,5
Scheduling Difficulties,Your online booking isn't user-friendly at all.,610350,5
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,463287,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,294556,1
Scheduling Difficulties,It's impossible to find an available appointment slot.,199717,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,593226,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,792135,3
Scheduling Difficulties,It's impossible to find an available appointment slot.,398630,3
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,619554,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,809200,4
Scheduling Difficulties,It's impossible to find an available appointment slot.,699999,5
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,868064,3
Scheduling Difficulties,Your online booking isn't user-friendly at all.,303349,5
Scheduling Difficulties,Your online booking isn't user-friendly at all.,357920,2
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,566382,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,458081,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,261152,1
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,792424,3
Scheduling Difficulties,Why do I have to wait so long for a specialist?,718312,4
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,375968,1
Scheduling Difficulties,It's impossible to find an available appointment slot.,634896,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,424183,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,357159,3
Scheduling Difficulties,Your online booking isn't user-friendly at all.,579138,3
Scheduling Difficulties,I requested an appointment online and never got confirmation.,449678,5
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,758239,4
Scheduling Difficulties,Your online booking isn't user-friendly at all.,202718,4
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,556770,5
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,335729,2
Scheduling Difficulties,It's impossible to find an available appointment slot.,308092,3
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,541888,2
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,355195,2
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,172769,3
Scheduling Difficulties,Why do I have to wait so long for a specialist?,309734,3
Scheduling Difficulties,Your online booking isn't user-friendly at all.,793585,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,607956,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,292641,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,647240,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,863301,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,682239,1
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,352584,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,693428,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,725979,5
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,786970,5
Scheduling Difficulties,Your online booking isn't user-friendly at all.,363438,4
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,978208,2
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,244662,4
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,199704,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,116745,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,702523,2
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,156808,5
Scheduling Difficulties,It's impossible to find an available appointment slot.,765540,3
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,992398,2
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,325343,1
Scheduling Difficulties,I requested an appointment online and never got confirmation.,639860,5
Scheduling Difficulties,I requested an appointment online and never got confirmation.,273753,2
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,821230,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,193489,3
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,728313,3
Scheduling Difficulties,I requested an appointment online and never got confirmation.,509769,1
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,169093,5
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,688135,3
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,842755,5
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,562173,3
Scheduling Difficulties,Why do I have to wait so long for a specialist?,896692,5
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,688252,5
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,929888,4
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,928873,1
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,121773,1
Scheduling Difficulties,I requested an appointment online and never got confirmation.,910341,3
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,530114,5
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,242331,4
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,478780,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,281277,4
Scheduling Difficulties,I requested an appointment online and never got confirmation.,601849,5
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,172203,4
Scheduling Difficulties,It's impossible to find an available appointment slot.,840628,5
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,159305,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,908222,3
Scheduling Difficulties,It's impossible to find an available appointment slot.,505817,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,433640,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,631632,5
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,426399,2
Scheduling Difficulties,Why do I have to wait so long for a specialist?,974386,1
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,880730,3
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,768803,3
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,351994,1
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,275338,1
Scheduling Difficulties,I requested an appointment online and never got confirmation.,843863,1
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,103150,3
Scheduling Difficulties,I requested an appointment online and never got confirmation.,982050,5
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,184521,3
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,969539,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,123938,5
Scheduling Difficulties,It's impossible to find an available appointment slot.,812834,1
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,437146,3
Scheduling Difficulties,I requested an appointment online and never got confirmation.,604585,3
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,658580,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,788473,4
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,722062,1
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,448116,1
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,322373,5
Scheduling Difficulties,Your online booking isn't user-friendly at all.,782776,4
Scheduling Difficulties,I requested an appointment online and never got confirmation.,145909,1
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,471442,4
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,607532,2
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,874124,4
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,341698,2
Scheduling Difficulties,It's impossible to find an available appointment slot.,947818,2
Scheduling Difficulties,Why do I have to wait so long for a specialist?,514279,1
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,511626,4
Scheduling Difficulties,It's impossible to find an available appointment slot.,396461,2
Scheduling Difficulties,Why do I have to wait so long for a specialist?,385133,2
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,988454,5
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,239106,1
Scheduling Difficulties,Why do I have to wait so long for a specialist?,264903,2
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,697760,2
Scheduling Difficulties,It's impossible to find an available appointment slot.,427174,3
Scheduling Difficulties,Why is it so difficult to get an appointment sooner?,907145,2
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,147928,4
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,638364,5
Scheduling Difficulties,No one called me back to confirm my scheduled appointment.,606170,2
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,703060,4
Scheduling Difficulties,Your system won't let me cancel or reschedule my visit.,136126,1
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,720637,2
Scheduling Difficulties,I requested an appointment online and never got confirmation.,896517,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,859454,1
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,756527,2
Scheduling Difficulties,It's impossible to find an available appointment slot.,323194,5
Scheduling Difficulties,I requested an appointment online and never got confirmation.,972346,1
Scheduling Difficulties,I'm having trouble scheduling my appointment online.,410783,1
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,663760,3
Scheduling Difficulties,I keep getting errors when trying to book an appointment.,439958,1
Scheduling Difficulties,Your online booking isn't user-friendly at all.,939175,3
Scheduling Difficulties,I can't reach anyone to schedule my next visit.,446951,2
Billing Issues,"My insurance says they've paid, but you're billing me again.",225838,5
Billing Issues,I don't understand this bill; it's not clear at all.,962713,4
Billing Issues,Why does resolving billing issues take so long?,777753,2
Billing Issues,Why wasn't I informed about these charges beforehand?,561118,1
Billing Issues,I'm still receiving bills even though I already paid.,986253,5
Billing Issues,There's an incorrect charge on my statement.,346731,3
Billing Issues,There's an incorrect charge on my statement.,252687,4
Billing Issues,I've been incorrectly billed for services I didn't receive.,758040,4
Billing Issues,Can someone explain these extra fees on my bill?,234877,4
Billing Issues,Can someone explain these extra fees on my bill?,546702,3
Billing Issues,Why does resolving billing issues take so long?,786380,1
Billing Issues,Your billing department isn't responding to my calls.,757209,4
Billing Issues,Can someone explain these extra fees on my bill?,740562,5
Billing Issues,Your billing department isn't responding to my calls.,853318,5
Billing Issues,Why does resolving billing issues take so long?,747228,4
Billing Issues,Why does resolving billing issues take so long?,859660,3
Billing Issues,I'm still receiving bills even though I already paid.,995259,1
Billing Issues,I'm still receiving bills even though I already paid.,884472,4
Billing Issues,I'm still receiving bills even though I already paid.,232339,4
Billing Issues,I'm still receiving bills even though I already paid.,123878,1
Billing Issues,Your billing department isn't responding to my calls.,906984,2
Billing Issues,Why does resolving billing issues take so long?,402517,1
Billing Issues,There's an incorrect charge on my statement.,140948,5
Billing Issues,There's an incorrect charge on my statement.,956824,2
Billing Issues,There's an incorrect charge on my statement.,370651,2
Billing Issues,I've been incorrectly billed for services I didn't receive.,924680,3
Billing Issues,There's an incorrect charge on my statement.,266099,1
Billing Issues,Why am I being charged twice for the same procedure?,105729,4
Billing Issues,"My insurance says they've paid, but you're billing me again.",599869,2
Billing Issues,"My insurance says they've paid, but you're billing me again.",283669,3
Billing Issues,Why wasn't I informed about these charges beforehand?,654867,2
Billing Issues,Why am I being charged twice for the same procedure?,707357,2
Billing Issues,"My insurance says they've paid, but you're billing me again.",162207,3
Billing Issues,There's an incorrect charge on my statement.,637570,1
Billing Issues,Why am I being charged twice for the same procedure?,372966,3
Billing Issues,Can someone explain these extra fees on my bill?,160310,3
Billing Issues,Why wasn't I informed about these charges beforehand?,747428,3
Billing Issues,Why am I being charged twice for the same procedure?,851087,5
Billing Issues,I'm still receiving bills even though I already paid.,492444,1
Billing Issues,I've been incorrectly billed for services I didn't receive.,916126,3
Billing Issues,Why does resolving billing issues take so long?,652888,4
Billing Issues,"My insurance says they've paid, but you're billing me again.",516622,3
Billing Issues,I've been incorrectly billed for services I didn't receive.,353428,1
Billing Issues,"My insurance says they've paid, but you're billing me again.",717534,2
Billing Issues,Why am I being charged twice for the same procedure?,852060,1
Billing Issues,Why wasn't I informed about these charges beforehand?,584189,3
Billing Issues,Your billing department isn't responding to my calls.,101826,2
Billing Issues,I don't understand this bill; it's not clear at all.,755013,2
Billing Issues,I don't understand this bill; it's not clear at all.,555959,4
Billing Issues,I'm still receiving bills even though I already paid.,834338,4
Billing Issues,Why wasn't I informed about these charges beforehand?,800761,1
Billing Issues,I've been incorrectly billed for services I didn't receive.,638214,5
Billing Issues,Why does resolving billing issues take so long?,220775,5
Billing Issues,Why am I being charged twice for the same procedure?,693354,5
Billing Issues,Can someone explain these extra fees on my bill?,618490,3
Billing Issues,I'm still receiving bills even though I already paid.,396766,1
Billing Issues,Your billing department isn't responding to my calls.,628567,3
Billing Issues,Can someone explain these extra fees on my bill?,938893,1
Billing Issues,Why am I being charged twice for the same procedure?,753153,3
Billing Issues,Why am I being charged twice for the same procedure?,120559,5
Billing Issues,"My insurance says they've paid, but you're billing me again.",913311,4
Billing Issues,I've been incorrectly billed for services I didn't receive.,834988,2
Billing Issues,Why am I being charged twice for the same procedure?,278278,1
Billing Issues,I'm still receiving bills even though I already paid.,639179,4
Billing Issues,I don't understand this bill; it's not clear at all.,208735,2
Billing Issues,I've been incorrectly billed for services I didn't receive.,869735,1
Billing Issues,Why am I being charged twice for the same procedure?,557665,5
Billing Issues,I've been incorrectly billed for services I didn't receive.,903175,3
Billing Issues,Your billing department isn't responding to my calls.,515954,5
Billing Issues,Why does resolving billing issues take so long?,314707,5
Billing Issues,I don't understand this bill; it's not clear at all.,848087,4
Billing Issues,I've been incorrectly billed for services I didn't receive.,971827,5
Billing Issues,Your billing department isn't responding to my calls.,545696,3
Billing Issues,I don't understand this bill; it's not clear at all.,246123,1
Billing Issues,I'm still receiving bills even though I already paid.,187811,1
Billing Issues,"My insurance says they've paid, but you're billing me again.",835518,2
Billing Issues,Why am I being charged twice for the same procedure?,286811,5
Billing Issues,Why am I being charged twice for the same procedure?,267685,3
Billing Issues,Can someone explain these extra fees on my bill?,144954,3
Billing Issues,I don't understand this bill; it's not clear at all.,918834,4
Billing Issues,There's an incorrect charge on my statement.,858870,2
Billing Issues,There's an incorrect charge on my statement.,395795,4
Billing Issues,"My insurance says they've paid, but you're billing me again.",251204,2
Billing Issues,I'm still receiving bills even though I already paid.,381475,5
Billing Issues,Why does resolving billing issues take so long?,202514,1
Billing Issues,Why wasn't I informed about these charges beforehand?,750129,3
Billing Issues,I've been incorrectly billed for services I didn't receive.,388515,2
Billing Issues,Your billing department isn't responding to my calls.,663371,3
Billing Issues,Why am I being charged twice for the same procedure?,672220,1
Billing Issues,I don't understand this bill; it's not clear at all.,845279,4
Billing Issues,Can someone explain these extra fees on my bill?,701091,5
Billing Issues,I'm still receiving bills even though I already paid.,693919,2
Billing Issues,I'm still receiving bills even though I already paid.,663508,4
Billing Issues,"My insurance says they've paid, but you're billing me again.",688746,2
Billing Issues,Your billing department isn't responding to my calls.,552343,4
Billing Issues,Why wasn't I informed about these charges beforehand?,297791,3
Billing Issues,Can someone explain these extra fees on my bill?,725818,3
Billing Issues,There's an incorrect charge on my statement.,462890,4
Billing Issues,Why wasn't I informed about these charges beforehand?,105130,5
Billing Issues,Your billing department isn't responding to my calls.,607819,3
Billing Issues,I'm still receiving bills even though I already paid.,610707,4
Billing Issues,Your billing department isn't responding to my calls.,823072,2
Billing Issues,I've been incorrectly billed for services I didn't receive.,819761,3
Billing Issues,I'm still receiving bills even though I already paid.,872835,3
Billing Issues,Can someone explain these extra fees on my bill?,648220,3
Billing Issues,There's an incorrect charge on my statement.,816425,4
Billing Issues,Why wasn't I informed about these charges beforehand?,361503,1
Billing Issues,I'm still receiving bills even though I already paid.,647416,5
Billing Issues,Can someone explain these extra fees on my bill?,508535,2
Billing Issues,Why does resolving billing issues take so long?,546610,3
